genre,1917,1918,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Kids,2,1,0,0,0,0,1,0,1,1,2,4,2,1,2,4,1,0,0,0,1,1,0,1,0,0,0,2,2,2,2,1,1,3,6,7,6,5,18,20,16,19,21,21,24,27,19,16,19,20,20,16,24,21,27,25,31,26,30,33,37,42,40,55,49,43,46,59,70,73,63,65,84,90,61,69,55,77,72,74,83,91,73,80,80,109,123,114,140,185,209,239,258,232,241,264,264,267,256,316,243,137,149,150,121,28,0
Love Polygon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0,1,3,1,0,0,2,1,3,2,1,3,8,1,8,1,1,2,7,8,6,2,3,5,5,4,3,0,2,2,4,3,0
Love Status Quo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0,3,3,1,5,6,7,4,3,0
Magical Sex Shift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,2,1,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,0,0,2,1,0,0,2,3,1,0,0
Mahou Shoujo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,1,1,2,4,4,2,1,1,2,1,2,5,5,9,4,5,3,3,1,4,5,3,7,10,10,8,7,6,9,13,11,14,11,12,16,17,14,10,6,18,9,13,16,4,0
Martial Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,1,0,0,1,0,0,0,0,2,3,2,2,1,5,6,6,10,7,7,7,10,14,11,10,5,3,6,4,4,5,7,10,6,14,15,16,17,9,14,8,5,15,14,15,20,30,25,29,39,56,67,60,12,0
Mecha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,3,2,4,8,13,11,8,5,6,12,21,20,17,21,16,21,21,18,19,16,18,15,17,19,22,18,24,34,22,27,30,24,38,31,28,38,21,24,34,26,29,38,45,39,39,37,44,47,30,40,24,30,17,7,2
Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,1,2,3,3,0,0,1,2,0,0,0,0,3,2,2,3,1,3,5,0,4,4,4,0
Military,0,0,0,0,0,0,0,0,2,0,1,1,2,2,1,0,2,0,0,0,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,3,2,4,4,3,7,6,1,7,7,7,9,5,2,5,7,9,9,5,6,8,10,8,8,10,18,12,21,21,25,19,18,16,23,18,25,21,16,27,27,29,34,33,22,29,19,8,16,8,0
Music,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,15,15,16,15,13,15,12,17,13,15,14,15,12,13,10,14,14,17,14,16,12,16,20,27,23,24,33,26,27,28,19,25,27,31,33,18,23,28,28,28,33,45,45,42,40,53,57,64,88,94,137,152,159,162,165,197,232,209,272,325,398,422,330,258,37,0
